Gene name	Gene stable ID
ELOCP15	ENSG00000232029
TRIM60P3Y	ENSG00000227830
MTND1P1	ENSG00000226529
LINC00280	ENSG00000229643
PRRC2CP1	ENSG00000216777
ZNF736P10Y	ENSG00000216824
TSPY1	ENSG00000258992
CDY12P	ENSG00000228850
MTND2P3	ENSG00000234850
CDY13P	ENSG00000224873
RBMY1KP	ENSG00000229234
TTTY21B	ENSG00000237563
ARSDP1	ENSG00000225117
TTTY5	ENSG00000215560
CDY4P	ENSG00000228411
RBMY1D	ENSG00000244395
OR4C12	ENSG00000284255
OR4C48P	ENSG00000284278
OR4C45	ENSG00000292249
OR4C49P	ENSG00000284123
RBMY2WP	ENSG00000230727
USP9YP24	ENSG00000230814
TTTY10	ENSG00000229236
UBE2V1P3	ENSG00000229518
FAM8A4P	ENSG00000232730
TRIM60P8Y	ENSG00000232764
MED13P1	ENSG00000236131
TSPY6P	ENSG00000270073
CYCSP46	ENSG00000227949
RNU6-303P	ENSG00000252900
RNA5SP518	ENSG00000251766
RN7SL702P	ENSG00000243980
RNA5SP520	ENSG00000252315
RNA5SP521	ENSG00000252012
RNU6-109P	ENSG00000252173
RNA5-8SP6	ENSG00000251705
RNA5SP519	ENSG00000252289
RNU6-184P	ENSG00000252323
HSFY2	ENSG00000169953
GPM6BP2	ENSG00000236429
USP9YP2	ENSG00000249501
ELOCP14	ENSG00000228193
PRYP6	ENSG00000248573
XKRYP2	ENSG00000230904
USP9YP10	ENSG00000238135
USP9YP28	ENSG00000224151
RNU1-41P	ENSG00000251970
OFD1P7Y	ENSG00000238088
MTCYBP2	ENSG00000217179
ZNF839P1	ENSG00000217896
CD24P4	ENSG00000185275
RNU6-255P	ENSG00000252766
GAPDHP19	ENSG00000234529
CLUHP1	ENSG00000238191
TAF9P1	ENSG00000226353
CDY5P	ENSG00000226449
ELOCP36	ENSG00000225896
PRYP1	ENSG00000224166
ACTG1P2	ENSG00000229129
USP9YP23	ENSG00000223555
USP9YP27	ENSG00000235521
RNU1-128P	ENSG00000252513
TRAPPC2P3	ENSG00000224964
OFD1P1Y	ENSG00000226011
ELOCP6	ENSG00000225740
CDY6P	ENSG00000229138
USP9YP7	ENSG00000224485
USP9YP6	ENSG00000226116
CDY7P	ENSG00000237558
USP9YP34	ENSG00000233378
USP9YP32	ENSG00000237616
CDY8P	ENSG00000224033
ELOCP12	ENSG00000230412
TRAPPC2P8	ENSG00000225895
USP9YP15	ENSG00000233120
RNU1-95P	ENSG00000252166
USP9YP16	ENSG00000232744
ACTG1P11	ENSG00000229465
PRYP2	ENSG00000231311
ELOCP26	ENSG00000236599
CDY9P	ENSG00000232899
TAF9P2	ENSG00000229302
CLUHP2	ENSG00000228945
FAM224A	ENSG00000233522
RNA5SP522	ENSG00000251953
RNA5SP523	ENSG00000252667
TUBB1P1	ENSG00000249726
FAM41AY2	ENSG00000226362
ELOCP13	ENSG00000225716
OFD1P4Y	ENSG00000229406
USP9YP14	ENSG00000227494
RNU1-48P	ENSG00000252209
USP9YP5	ENSG00000249634
XKRYP1	ENSG00000238067
PRYP5	ENSG00000233546
ELOCP7	ENSG00000230377
USP9YP1	ENSG00000250951
GPM6BP1	ENSG00000230458
TTTY9B	ENSG00000131007
RAB9AP4	ENSG00000235479
TRAPPC2P7	ENSG00000249606
TTTY14	ENSG00000176728
KDM5D	ENSG00000012817
MIR3649	ENSG00000284767
ADIPOR2	ENSG00000285070
RPS4XP14	ENSG00000284817
CACNA2D4	ENSG00000284953
LRTM2	ENSG00000285383
LINC00940	ENSG00000285233
DCP1B	ENSG00000284850
CACNA1C-IT1	ENSG00000285291
CACNA1C-AS4	ENSG00000285107
CACNA1C-IT3	ENSG00000284775
HSFY1	ENSG00000172468
CACNA1C-AS3	ENSG00000284942
CACNA1C-AS2	ENSG00000285101
CACNA1C-AS1	ENSG00000285335
TGIF2LY	ENSG00000176679
RBMY1F	ENSG00000169800
CACNA1C	ENSG00000285479
CDY2A	ENSG00000182415
ZNF736P3Y	ENSG00000233126
TRIM60P9Y	ENSG00000227251
PRKY	ENSG00000099725
RN7SKP282	ENSG00000252633
Y_RNA	ENSG00000251996
RNU6-941P	ENSG00000252155
RNU6-521P	ENSG00000252472
SRIP3	ENSG00000224953
GOT2P5	ENSG00000233634
ATP5PFP1	ENSG00000237701
TRIM60P10Y	ENSG00000232976
ZNF736P2Y	ENSG00000226270
TRIM60P11Y	ENSG00000227837
ZNF736P1Y	ENSG00000223978
ZNF736P5Y	ENSG00000230819
BPY2C	ENSG00000185894
TTTY4C	ENSG00000228296
DAZ4	ENSG00000205916
CDY2B	ENSG00000129873
RNU6-1334P	ENSG00000251841
SRY	ENSG00000184895
RNASEH2CP1	ENSG00000237659
TOMM22P2	ENSG00000232195
RPS4Y1	ENSG00000129824
NAP1L1P2	ENSG00000229163
ZFY	ENSG00000067646
ZFY-AS1	ENSG00000233070
EEF1A1P41	ENSG00000223600
PSMA6P1	ENSG00000215414
SFPQP1	ENSG00000224035
DPPA2P1	ENSG00000223915
DDX3Y	ENSG00000067048
SERTAD4-AS1	ENSG00000280963
SERTAD4	ENSG00000281230
ST13P19	ENSG00000281067
HHAT	ENSG00000280680
RNU5A-8P	ENSG00000281499
BPNT2P1	ENSG00000280937
CASKP1	ENSG00000234059
UTY	ENSG00000183878
TMSB4Y	ENSG00000154620
VCY	ENSG00000129864
DAZ3	ENSG00000187191
DAZ1	ENSG00000188120
BRD7P1	ENSG00000284831
RN7SKP205	ENSG00000284911
LINC00596	ENSG00000285289
DHRS4-AS1	ENSG00000285282
DHRS4L1	ENSG00000285036
CARMIL3	ENSG00000284765
PPP1R12BP2	ENSG00000205936
SNORA70	ENSG00000251925
REREP1Y	ENSG00000225189
RBMY2CP	ENSG00000215540
AMELY	ENSG00000099721
CPNE6	ENSG00000285221
TBL1Y	ENSG00000092377
NRL	ENSG00000285493
PCK2	ENSG00000285241
DCAF11	ENSG00000284796
GPR143P	ENSG00000232583
DAZ2	ENSG00000205944
FITM1	ENSG00000285321
PSME1	ENSG00000284916
EMC9	ENSG00000285377
PSME2	ENSG00000284889
MIR7703	ENSG00000285146
RNF31	ENSG00000285152
RNA5SP383	ENSG00000285306
TSPY2	ENSG00000168757
IRF9	ENSG00000285048
REC8	ENSG00000285007
AGKP1	ENSG00000226555
NLGN4Y-AS1	ENSG00000228787
RBMY1E	ENSG00000242389
IPO4	ENSG00000285248
TM9SF1	ENSG00000285465
NLGN4Y	ENSG00000165246
TSSK4	ENSG00000285140
CHMP4A	ENSG00000285302
MDP1	ENSG00000285200
NEDD8-MDP1	ENSG00000285425
LINC00278	ENSG00000231535
NEDD8	ENSG00000285246
CDY22P	ENSG00000229343
ELOCP17	ENSG00000232695
OFD1P18Y	ENSG00000235511
TRAPPC2P4	ENSG00000232914
RAB9AP3	ENSG00000223655
USP9YP20	ENSG00000230854
RNU1-40P	ENSG00000252625
USP9YP21	ENSG00000227635
XKRYP6	ENSG00000237546
GMPR2	ENSG00000284752
PRYP4	ENSG00000172283
ELOCP11	ENSG00000227867
CDY23P	ENSG00000231716
USP9YP26	ENSG00000234744
HSFY8P	ENSG00000233156
OFD1P15Y	ENSG00000234888
RBMY2DP	ENSG00000215507
REREP2Y	ENSG00000235014
SNORA70	ENSG00000251796
PPP1R12BP1	ENSG00000229238
RNU6-1314P	ENSG00000252948
CYCSP48	ENSG00000233843
ANKRD36P1	ENSG00000188399
VCY1B	ENSG00000129862
PNPLA4P1	ENSG00000235451
OFD1P2Y	ENSG00000226611
OFD1P5Y	ENSG00000240438
TBL1YP1	ENSG00000225624
TINF2	ENSG00000284915
RPS4Y2	ENSG00000280969
HSFY4P	ENSG00000224482
GAPDHP17	ENSG00000229551
TMEM167AP1	ENSG00000226504
TOMM22P1	ENSG00000237427
NEFLP1	ENSG00000232634
TGM1	ENSG00000285348
PRORY	ENSG00000183146
RBMY2TP	ENSG00000237269
TSPY14P	ENSG00000169849
RBMY1HP	ENSG00000169811
TTTY13	ENSG00000184991
RABGGTA	ENSG00000285193
ELOCP5	ENSG00000271123
CDY10P	ENSG00000226042
USP9YP3	ENSG00000237023
USP9YP8	ENSG00000229416
CDY11P	ENSG00000230029
HSFY6P	ENSG00000224169
USP9YP18	ENSG00000223407
CDY14P	ENSG00000226873
ELOCP16	ENSG00000227915
XKRYP3	ENSG00000236620
USP9YP25	ENSG00000224866
USP9YP29	ENSG00000232424
RNU1-97P	ENSG00000252681
RAB9AP1	ENSG00000232910
TRAPPC2P9	ENSG00000232845
OFD1P11Y	ENSG00000237302
PRYP3	ENSG00000169763
RNU2-57P	ENSG00000252468
VDAC1P6	ENSG00000231341
EIF4A1P2	ENSG00000235001
KRT18P10	ENSG00000214207
SNX3P1Y	ENSG00000278585
RPL26P37	ENSG00000235175
DHRS1	ENSG00000284868
PCDH11Y	ENSG00000099715
NOP9	ENSG00000285326
CIDEB	ENSG00000285199
LTB4R2	ENSG00000285203
OFD1P10Y	ENSG00000225466
ELOCP9	ENSG00000231540
CDY15P	ENSG00000223362
XKRYP4	ENSG00000231026
USP9YP13	ENSG00000224571
USP9YP11	ENSG00000226369
LTB4R	ENSG00000285456
TTTY3B	ENSG00000280961
USP9YP12	ENSG00000227871
RNU1-86P	ENSG00000251917
RAB9AP5	ENSG00000231423
TRAPPC2P10	ENSG00000228465
OFD1P12Y	ENSG00000232585
ADCY4	ENSG00000284814
ELOCP10	ENSG00000234081
CDY1B	ENSG00000172352
CDY17P	ENSG00000231375
USP9YP35	ENSG00000237467
USP9YP31	ENSG00000229250
CDY18P	ENSG00000232205
GOLGA6L11P	ENSG00000223698
DNM1P24	ENSG00000242854
CSPG4P2Y	ENSG00000244231
CSPG4P3Y	ENSG00000172342
RN7SL818P	ENSG00000274234
UBE2Q2P4Y	ENSG00000225491
LINC00265-2P	ENSG00000224827
CICP2	ENSG00000233740
SEPTIN14P22	ENSG00000248792
RBMY2XP	ENSG00000234399
RIPK3	ENSG00000285379
TTTY17B	ENSG00000227439
TRIM60P5Y	ENSG00000224210
ZNF736P12Y	ENSG00000232003
TTTY4B	ENSG00000235412
U6	ENSG00000285386
BPY2B	ENSG00000183795
ZNF736P4Y	ENSG00000236379
NFATC4	ENSG00000285485
TTTY17C	ENSG00000223641
RBMY2YP	ENSG00000227633
SEPTIN14P23	ENSG00000228786
CICP1	ENSG00000233652
LINC00265-3P	ENSG00000233944
UBE2Q2P5Y	ENSG00000223636
GOLGA2P3Y	ENSG00000172297
RN7SL725P	ENSG00000278242
CSPG4P4Y	ENSG00000172294
CSPG4P1Y	ENSG00000240450
DNM1P48	ENSG00000239304
GOLGA6L16P	ENSG00000197092
CDY19P	ENSG00000237823
USP9YP36	ENSG00000229709
USP9YP33	ENSG00000232064
CDY20P	ENSG00000225609
ELOCP34	ENSG00000270535
OFD1P13Y	ENSG00000225287
TRAPPC2P5	ENSG00000225256
RAB9AP2	ENSG00000223856
USP9YP30	ENSG00000235004
RNU1-107P	ENSG00000252426
TTTY3	ENSG00000231141
USP9YP9	ENSG00000232614
USP9YP19	ENSG00000225326
DHRS4	ENSG00000284807
XKRYP5	ENSG00000223406
TPTE2P4	ENSG00000215506
CYCSP49	ENSG00000224240
SLC25A15P1	ENSG00000227629
PARP4P1	ENSG00000237917
CCNQP2	ENSG00000231514
DHRS4L2	ENSG00000292270
CDY1	ENSG00000172288
RBMY1J	ENSG00000226941
DHRS4L1	ENSG00000284898
TSPY9	ENSG00000238074
ZNF736P9Y	ENSG00000239893
RBMY1B	ENSG00000242875
RBMY1A1	ENSG00000234414
RFTN1P1	ENSG00000234795
FAM197Y5	ENSG00000225516
FAM197Y5	ENSG00000290330
FAM197Y2	ENSG00000234803
RBMY2FP	ENSG00000243040
RBMY2FP	ENSG00000290336
H3-4	ENSG00000285435
RPL23AP15	ENSG00000284795
H2AC25	ENSG00000284841
H2BC26	ENSG00000285449
MIR4666A	ENSG00000284998
RBMY2QP	ENSG00000236718
H2BC27P	ENSG00000285234
RNF187	ENSG00000285426
RBMY2BP	ENSG00000224657
BTNL10P	ENSG00000285153
RNA5S1	ENSG00000285166
RNA5S2	ENSG00000285285
RNA5S3	ENSG00000285168
TTTY23B	ENSG00000250204
RNA5S16	ENSG00000284853
RNA5S17	ENSG00000285158
TTTY23B	ENSG00000290369
RNA5SP18	ENSG00000284877
DUSP5P1	ENSG00000285311
FAM197Y4	ENSG00000274196
FTH1P2	ENSG00000285319
RHOU	ENSG00000284984
FAM197Y4	ENSG00000290373
TSPY5P	ENSG00000225685
TTTY11	ENSG00000180910
TTTY11	ENSG00000290381
ARSLP1	ENSG00000224060
FAM197Y9	ENSG00000234830
FAM197Y9	ENSG00000290448
FAM197Y3	ENSG00000230066
FAM197Y3	ENSG00000290607
OFD1P6Y	ENSG00000242153
TTTY9A	ENSG00000290716
XKRY	ENSG00000250868
XKRY	ENSG00000290724
XKRYP7	ENSG00000244646
XKRYP7	ENSG00000290725
XGY2	ENSG00000290840
HSFY3P	ENSG00000227289
TAB3P1	ENSG00000235462
ANOS2P	ENSG00000241859
RBMY2EP	ENSG00000223637
GOLGA2P2Y	ENSG00000239533
GOLGA2P2Y	ENSG00000291016
BCORP1	ENSG00000215580
BCORP1	ENSG00000291031
TXLNGY	ENSG00000131002
TXLNGY	ENSG00000291033
GYG2P1	ENSG00000206159
CDY3P	ENSG00000232235
USP9YP22	ENSG00000224408
USP9YP4	ENSG00000238154
ELOCP4	ENSG00000232924
RBMY1A3P	ENSG00000197038
TTTY20	ENSG00000232808
TSPY4	ENSG00000233803
LEUTX	ENSG00000280774
DYRK1B	ENSG00000281320
MIR6719	ENSG00000281403
FBL	ENSG00000280548
FAM197Y8	ENSG00000225560
FAM197Y7	ENSG00000228383
TSPY7P	ENSG00000188656
PRR13P5	ENSG00000280932
FAM197Y6	ENSG00000237802
PSMC4	ENSG00000281221
TSPY8	ENSG00000229549
ZNF546	ENSG00000281526
TSPY3	ENSG00000228927
ZNF780B	ENSG00000281601
ZNF780A	ENSG00000280568
FCGBP	ENSG00000281123
PPP2R3B	ENSG00000292327
RPL14P5	ENSG00000292328
ASMTL-AS1	ENSG00000292331
IL3RA	ENSG00000292332
P2RY8	ENSG00000292333
SLC25A6	ENSG00000292334
ASMT	ENSG00000292336
DHRSX-IT1	ENSG00000292337
DHRSX	ENSG00000292338
ASMTL	ENSG00000292339
LINC02968	ENSG00000292340
LINC00106	ENSG00000292341
LINC00685	ENSG00000292342
AKAP17A	ENSG00000292343
PLCXD1	ENSG00000292344
ZBED1	ENSG00000292345
MIR6089	ENSG00000292346
LINC00102	ENSG00000292347
CD99	ENSG00000292348
Metazoa_SRP	ENSG00000292350
FABP5P13	ENSG00000292352
KRT18P53	ENSG00000292353
SHOX	ENSG00000292354
MIR3690	ENSG00000292355
RNA5SP498	ENSG00000292356
CSF2RA	ENSG00000292357
GTPBP6	ENSG00000292358
CD99P1	ENSG00000292361
CD99P1	ENSG00000292362
CRLF2	ENSG00000292363
AMD1P2	ENSG00000292364
DPH3P2	ENSG00000292365
VAMP7	ENSG00000292366
ELOCP24	ENSG00000292367
TRPC6P1	ENSG00000292368
WASIR1	ENSG00000292370
DDX11L16	ENSG00000292371
WASH6P	ENSG00000292372
IL9R	ENSG00000292373
FRG2	ENSG00000285063
FRG1	ENSG00000283153
MLLT10P2	ENSG00000283508
TUBB7P	ENSG00000283593
RNA5SP174	ENSG00000283700
RNA5SP175	ENSG00000283581
DUX4L9	ENSG00000283181
RARRES2P4	ENSG00000283449
RPL23AP84	ENSG00000283660
DUX4L8	ENSG00000283363
DUX4	ENSG00000283949
LINC03015	ENSG00000288472
LINC03014	ENSG00000288417
FAM20C	ENSG00000288499
LINC01300	ENSG00000291463
GPR20	ENSG00000291465
PTP4A3	ENSG00000291470
HNRNPA1P38	ENSG00000291469
C8orf90	ENSG00000291474
MROH5	ENSG00000291473
Y_RNA	ENSG00000291371
SHANK3	ENSG00000292254
RNU6-409P	ENSG00000291372
ACR	ENSG00000291368
RNU6-1004P	ENSG00000285481
GCGR	ENSG00000288269
MCRIP1	ENSG00000288213
PPP1R27	ENSG00000288186
RPL21P63	ENSG00000285209
GCNT2P1	ENSG00000284885
C6orf52	ENSG00000285312
Y_RNA	ENSG00000284941
PAK1IP1	ENSG00000285226
TMEM14C	ENSG00000284936
GCNT2	ENSG00000285222
ARHGEF19-AS1	ENSG00000291378
ARHGEF19	ENSG00000291381
ANO7L1	ENSG00000291404
CPLANE2	ENSG00000291382
MT1XP1	ENSG00000291377
FBXO42	ENSG00000291375
SZRD1	ENSG00000291379
RPL22P3	ENSG00000291374
SPATA21	ENSG00000291401
GRM5P1	ENSG00000285164
NECAP2	ENSG00000291380
TRIM51FP	ENSG00000285143
LINC01772	ENSG00000291388
CROCCP3	ENSG00000291402
RNU1-1	ENSG00000291389
LINC01783	ENSG00000291392
RNU1-6P	ENSG00000291393
PDE4DIPP8	ENSG00000291394
RNU1-2	ENSG00000291385
RNU1-5P	ENSG00000291383
EIF1AXP1	ENSG00000291398
RNU1-3	ENSG00000291396
RNU1-4	ENSG00000291399
PADI2	ENSG00000291387
CROCCP4	ENSG00000291403
NBPF1	ENSG00000292225
CTBP2P1	ENSG00000281211
BCL2L14	ENSG00000281449
PTMAP9	ENSG00000281442
MIR1244-4	ENSG00000283344
LRP6	ENSG00000281324
RPL21P100	ENSG00000280475
RNU6-545P	ENSG00000206783
RNU6-318P	ENSG00000207477
MANSC1	ENSG00000281818
RPL23AP66	ENSG00000281051
LOH12CR2	ENSG00000281234
BORCS5	ENSG00000280689
DUSP16	ENSG00000280962
EI24P3	ENSG00000280781
ZKSCAN7	ENSG00000281894
ZKSCAN7-AS1	ENSG00000281456
ZNF660	ENSG00000280661
MPRIPP1	ENSG00000280795
ZNF197	ENSG00000281709
ZNF197-AS1	ENSG00000280907
ZNF35	ENSG00000281306
SOCS5P3	ENSG00000280872
ZNF502	ENSG00000281448
ZNF501	ENSG00000281661
KIAA1143	ENSG00000281665
KIF15	ENSG00000280610
MIR564	ENSG00000284275
TMEM42	ENSG00000280516
TGM4	ENSG00000281886
ZNF852	ENSG00000281626
MIR4740	ENSG00000291414
MIR3186	ENSG00000291415
LINC01971	ENSG00000291417
ACTG1	ENSG00000291420
BAHCC1	ENSG00000291421
LINC03048	ENSG00000291425
ITGA9	ENSG00000291488
RPL21P135	ENSG00000291489
NDUFAF4P3	ENSG00000291491
RNU7-73P	ENSG00000291493
ITGA9-AS1	ENSG00000291496
RNU5B-4P	ENSG00000288430
ECSCR	ENSG00000288297
SMIM33	ENSG00000288274
STING1	ENSG00000288243
NCOA4P4	ENSG00000288138
ELP5	ENSG00000288485
CLDN7	ENSG00000288292
Y_RNA	ENSG00000288215
SLC2A4	ENSG00000288174
YBX2	ENSG00000288504
EIF5A	ENSG00000288145
GPS2	ENSG00000288325
NEURL4	ENSG00000288301
ACAP1	ENSG00000288169
KCTD11	ENSG00000288399
TMEM95	ENSG00000288511
C1R	ENSG00000288512
C1RL	ENSG00000288124
C1RL-AS1	ENSG00000288352
RBP5	ENSG00000288369
RNU6-485P	ENSG00000284403
CLSTN3	ENSG00000288427
PEX5	ENSG00000288217
LINC02783	ENSG00000281226
PADI1	ENSG00000281459
PADI3	ENSG00000280549
MIR3972	ENSG00000281810
PADI4	ENSG00000280908
PADI6	ENSG00000280949
RCC2-AS1	ENSG00000281391
RCC2	ENSG00000281540
OR8U9	ENSG00000281038
OR8J2	ENSG00000263150
FAM8A2P	ENSG00000281773
NAA50P1	ENSG00000281819
OR8U8	ENSG00000262315
OR8L1P	ENSG00000280577
OR5T3	ENSG00000261897
OR5T2	ENSG00000262851
OR8K2P	ENSG00000280617
OR8I1P	ENSG00000280712
OR8K3	ENSG00000262755
OR8H1	ENSG00000262611
OR5T1	ENSG00000262784
RPL5P29	ENSG00000281820
OR8K1	ENSG00000263328
OR8J1	ENSG00000262796
ST13P5	ENSG00000288248
SAA1	ENSG00000288411
RNA5SP334	ENSG00000288479
